district,year,crop,season,area,AvgRain,AvgTemp
MANSA,2006,Guar seed,Whole year,4500,27.7025,27.3375
SANGRUR,2005,Rapeseed &Mustard,Rabi,3000,42.3725,25.96541667
FARIDKOT,2006,Wheat,Rabi,117000,43.10666667,26.76416667
FIROZPUR,1998,Cotton(lint),Kharif,138000,23.385,27.16416667
MUKATSAR,2010,Gram,Rabi,100,42.1275,27.01166667
JALANDHAR,2001,Cotton(lint),Kharif,1000,45.6625,26.32708333
MOGA,2010,Rapeseed &Mustard,Rabi,1000,47.2375,26.66083333
NAWANSHAHR,2010,Rapeseed &Mustard,Rabi,1000,62.85666667,26.25416667
FARIDKOT,1998,Moong,Whole year,3900,23.385,27.16416667
KAPURTHALA,2000,Masoor,Rabi,100,31.97916667,26.95833333
FARIDKOT,2008,Moong,Kharif,700,56.525,25.96291667
FATEHGARH SAHIB,2000,Arhar (Tur),Kharif,300,53.16583333,26.38208333
MUKATSAR,2005,Sugarcane,Whole year,1000,34.2425,26.375
HOSHIARPUR,2008,Maize,Kharif,70000,101.3833333,24.3025
AMRITSAR,2004,Moong,Kharif,2200,42.83916667,26.97333333
SANGRUR,2009,Bajra,Kharif,1000,35.63916667,26.74916667
FARIDKOT,1998,Rapeseed &Mustard,Rabi,1000,23.385,27.16416667
AMRITSAR,2008,Urad,Kharif,200,78.35166667,25.32708333
SANGRUR,1998,Wheat,Rabi,393000,38.12583333,26.315
MOGA,2000,Sesamum,Kharif,100,28.25416667,27.125
HOSHIARPUR,2012,Masoor,Rabi,200,50.80416667,24.88833333
LUDHIANA,2006,Groundnut,Kharif,200,47.61583333,26.48833333
HOSHIARPUR,2001,Gram,Rabi,300,52.39333333,25.55375
MOGA,2000,Wheat,Rabi,172000,28.25416667,27.125
FARIDKOT,2004,Gram,Rabi,100,31.17583333,27.50583333
LUDHIANA,2010,Arhar (Tur),Kharif,1100,55.99666667,26.42875
LUDHIANA,2002,Sugarcane,Whole year,8000,31.09166667,27.45916667
KAPURTHALA,2001,Gram,Rabi,100,40.47,26.62666667
AMRITSAR,1999,Rapeseed &Mustard,Rabi,5000,26.2825,27.5775
HOSHIARPUR,2008,Rapeseed &Mustard,Rabi,3000,101.3833333,24.3025
SANGRUR,2007,Moong,Kharif,900,38.79416667,26.70541667
SANGRUR,2006,Bajra,Kharif,2000,35.8025,26.84625
FIROZPUR,1998,Rice,Kharif,275000,23.385,27.16416667
MANSA,1998,Rapeseed &Mustard,Rabi,6000,37.6275,26.63166667
JALANDHAR,2010,Peas & Beans (Pulses),Rabi,100,62.85666667,26.25416667
LUDHIANA,2010,Moong,Kharif,1300,55.99666667,26.42875
SANGRUR,2012,Sunflower,Rabi,100,36.13833333,25.83791667
GURDASPUR,2003,Gram,Rabi,400,74.43583333,24.22375
KAPURTHALA,2003,Sugarcane,Whole year,6000,45.74166667,26.11833333
MANSA,2002,Wheat,Rabi,163000,19.445,28.05
MOGA,2009,Cotton(lint),Kharif,4000,33.07583333,26.79041667
PATIALA,2005,Rice,Kharif,252000,48.6925,25.84166667
ROPAR(RUPNAGAR),1998,Rice,Kharif,46000,70.88333333,21.79666667
KAPURTHALA,1998,Maize,Kharif,4000,25.0475,26.83791667
SANGRUR,2002,Groundnut,Kharif,300,26.39916667,27.62625
MANSA,2003,Rice,Kharif,78000,42.08166667,26.37916667
LUDHIANA,2006,Rice,Kharif,248000,47.61583333,26.48833333
JALANDHAR,2009,Sesamum,Kharif,500,42.17916667,26.33958333
PATIALA,2003,Rice,Kharif,246000,59.54583333,25.72875
HOSHIARPUR,2009,Arhar (Tur),Kharif,100,45.20583333,25.605
AMRITSAR,2000,Gram,Rabi,500,33.02083333,26.97333333
MOGA,1999,Arhar (Tur),Kharif,600,22.84666667,27.70583333
SANGRUR,2004,Bajra,Kharif,2000,36.56,26.97916667
MUKATSAR,2009,Cotton(lint),Kharif,96000,28.33083333,27.18125
BATHINDA,2004,Rapeseed &Mustard,Rabi,9000,27.58,27.69083333
MANSA,2000,Cotton(lint),Kharif,79000,20.04,27.54625
MANSA,2000,Wheat,Rabi,163000,20.04,27.54625
FARIDKOT,2005,Groundnut,Kharif,100,40.05083333,26.1
NAWANSHAHR,2010,Maize,Kharif,14000,62.85666667,26.25416667
ROPAR(RUPNAGAR),2000,Arhar (Tur),Kharif,700,69.12916667,21.98083333
FARIDKOT,2003,Guar seed,Whole year,1100,37.48166667,26.46666667
KAPURTHALA,2000,Rice,Kharif,103000,31.97916667,26.95833333
PATIALA,2007,Moong,Kharif,100,43.44083333,26.55125
MOGA,2012,Moong,Kharif,300,35.53166667,25.87291667
JALANDHAR,2002,Rapeseed &Mustard,Rabi,2000,37.0775,27.14
KAPURTHALA,2003,Rice,Kharif,104000,45.74166667,26.11833333
LUDHIANA,2004,Sugarcane,Whole year,3000,40.8975,26.84208333
ROPAR(RUPNAGAR),2002,Wheat,Rabi,86000,58.14833333,22.6375
FATEHGARH SAHIB,2007,Rice,Kharif,84000,48.4525,26.35916667
KAPURTHALA,2002,Sugarcane,Whole year,6000,31.44583333,27.45333333
LUDHIANA,2002,Wheat,Rabi,254000,31.09166667,27.45916667
FARIDKOT,1999,Cotton(lint),Kharif,15000,19.7675,27.97625
FIROZPUR,2002,Rice,Kharif,234000,22.02416667,27.93333333
MOGA,2000,Bajra,Kharif,2000,28.25416667,27.125
KAPURTHALA,2003,Maize,Kharif,3000,45.74166667,26.11833333
FARIDKOT,2005,Wheat,Rabi,116000,40.05083333,26.1
BATHINDA,1998,Rapeseed &Mustard,Rabi,12000,27.87583333,27.08041667
AMRITSAR,2000,Arhar (Tur),Kharif,1200,33.02083333,26.97333333
AMRITSAR,2003,Cotton(lint),Kharif,1000,54.88166667,25.93083333
KAPURTHALA,2012,Rapeseed &Mustard,Rabi,1000,39.58916667,25.7525
GURDASPUR,1999,Sugarcane,Whole year,16000,30.54916667,25.92708333
PATIALA,2002,Urad,Kharif,100,34.91833333,27.35083333
PATIALA,2004,Arhar (Tur),Kharif,200,46.67416667,26.60041667
FATEHGARH SAHIB,1999,Sugarcane,Whole year,4000,33.88083333,27.225
BATHINDA,2006,Rice,Kharif,87000,32.12666667,27.20625
MUKATSAR,1999,Rapeseed &Mustard,Rabi,3000,16.4825,28.14166667
MANSA,2000,Rice,Kharif,84000,20.04,27.54625
KAPURTHALA,2000,Gram,Rabi,100,31.97916667,26.95833333
ROPAR(RUPNAGAR),2005,Arhar (Tur),Kharif,200,74.0425,21.33458333
MUKATSAR,2005,Cotton(lint),Kharif,117000,34.2425,26.375
JALANDHAR,2010,Wheat,Rabi,169000,62.85666667,26.25416667
MANSA,2004,Sesamum,Kharif,400,28.6625,27.53291667
MOGA,2005,Rice,Kharif,167000,43.11083333,25.93125
KAPURTHALA,2007,Wheat,Rabi,111000,45.78,26.28833333
HOSHIARPUR,2009,Rice,Kharif,70000,45.20583333,25.605
GURDASPUR,1999,Sesamum,Kharif,2400,30.54916667,25.92708333
AMRITSAR,2010,Moong,Kharif,100,58.83083333,26.36833333
FIROZPUR,2001,Wheat,Rabi,383000,32.3675,27.11625
PATIALA,2012,Rapeseed &Mustard,Rabi,1000,40.70416667,25.77708333
MANSA,2007,Barley,Rabi,1000,37.01083333,27.05791667
FARIDKOT,2003,Barley,Rabi,1000,37.48166667,26.46666667
SANGRUR,2009,Masoor,Rabi,100,35.63916667,26.74916667
MUKATSAR,2008,Rapeseed &Mustard,Rabi,1000,49.255,26.26333333
PATIALA,2003,Moong,Kharif,300,59.54583333,25.72875
LUDHIANA,2005,Arhar (Tur),Kharif,1900,46.84,25.80916667
AMRITSAR,2000,Rice,Kharif,319000,33.02083333,26.97333333
MANSA,2009,Groundnut,Kharif,100,29.43666667,27.17791667
HOSHIARPUR,2006,Masoor,Rabi,400,79.065,25.21916667
ROPAR(RUPNAGAR),2006,Rice,Kharif,38000,74.93,22.07166667
LUDHIANA,2009,Maize,Kharif,2000,38.80333333,26.57625
PATIALA,2002,Gram,Rabi,200,34.91833333,27.35083333
ROPAR(RUPNAGAR),2005,Wheat,Rabi,91000,74.0425,21.33458333
MANSA,2003,Wheat,Rabi,166000,42.08166667,26.37916667
FARIDKOT,2004,Groundnut,Kharif,100,31.17583333,27.50583333
ROPAR(RUPNAGAR),2008,Rapeseed &Mustard,Rabi,2000,125.5383333,20.89958333
ROPAR(RUPNAGAR),2008,Masoor,Rabi,100,125.5383333,20.89958333
MANSA,2003,Bajra,Kharif,3000,42.08166667,26.37916667
SANGRUR,2006,Wheat,Rabi,396000,35.8025,26.84625
PATIALA,2008,Maize,Kharif,2000,81.345,25.10541667
